kelurahan_nama,tgl_update,kecamatan_nama,ODP,PDP,POS,jum_selesai,jum_meninggal
BABAKAN,5/2/2020,BOGOR TENGAH,18,2,0,0,0
BABAKAN PASAR,5/2/2020,BOGOR TENGAH,5,7,0,0,0
BALUMBANG JAYA,5/2/2020,BOGOR BARAT,12,0,0,0,0
BANTARJATI,5/2/2020,BOGOR UTARA,27,4,1,0,1
BARANANGSIANG,5/2/2020,BOGOR TIMUR,35,6,7,2,1
BATUTULIS,5/2/2020,BOGOR SELATAN,8,3,2,0,1
BOJONGKERTA,5/2/2020,BOGOR SELATAN,3,1,1,0,0
BONDONGAN,5/2/2020,BOGOR SELATAN,16,6,1,0,0
BUBULAK,5/2/2020,BOGOR BARAT,25,6,0,0,0
CIBADAK,5/2/2020,TANAH SAREAL,23,4,2,0,0
CIBOGOR,5/2/2020,BOGOR TENGAH,4,2,0,0,0
CIBULUH,5/2/2020,BOGOR UTARA,12,2,1,0,0
CIKARET,5/2/2020,BOGOR SELATAN,10,2,2,0,0
